ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,1.914101699,1.914062275
16,33554432,536870912,1.726648656,1.726647873
32,16777216,536870912,1.813999376,1.813998269
64,8388608,536870912,1.677750047,1.677748143
128,4194304,536870912,1.652204732,1.652199705
256,2097152,536870912,1.620976268,1.620968215
512,1048576,536870912,1.602197035,1.602181460
1024,524288,536870912,1.610748420,1.610716762
2048,262144,536870912,1.604111513,1.604050421
4096,131072,536870912,1.609153001,1.609030150
8192,65536,536870912,1.606571032,1.606319531
16384,32768,536870912,1.610690144,1.610167728
32768,16384,536870912,1.608586778,1.607483533
65536,8192,536870912,1.610918895,1.608727408
131072,4096,536870912,1.613421127,1.609014505
262144,2048,536870912,1.637786392,1.629015262
524288,1024,536870912,1.634454234,1.618234273
1048576,512,536870912,1.708163534,1.676423676
2097152,256,536870912,1.794743311,1.730590770
4194304,128,536870912,1.851227467,1.722873582
8388608,64,536870912,1.978338827,1.721614680
16777216,32,536870912,2.243007866,1.730553589
33554432,16,536870912,2.744088792,1.719570929
67108864,8,536870912,3.769519588,1.721533105
134217728,4,536870912,5.811633579,1.717564413
268435456,2,536870912,9.956745144,1.769487029
536870912,1,536870912,18.142263731,1.768170350
