ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,1.694384888,1.694339388
16,33554432,536870912,1.538131175,1.538130372
32,16777216,536870912,1.676607977,1.676606733
64,8388608,536870912,1.586574493,1.586572204
128,4194304,536870912,1.554619064,1.554612696
256,2097152,536870912,1.534995394,1.534986573
512,1048576,536870912,1.522778830,1.522762561
1024,524288,536870912,1.521457563,1.521425383
2048,262144,536870912,1.521965086,1.521903331
4096,131072,536870912,1.527812883,1.527687935
8192,65536,536870912,1.570039709,1.569784958
16384,32768,536870912,1.533483829,1.532958711
32768,16384,536870912,1.536456068,1.535364577
65536,8192,536870912,1.536498401,1.534301054
131072,4096,536870912,1.539914381,1.535541852
262144,2048,536870912,1.544595384,1.535853211
524288,1024,536870912,1.551287373,1.534967882
1048576,512,536870912,1.611493242,1.579657904
2097152,256,536870912,1.697178632,1.632778346
4194304,128,536870912,1.775707631,1.639873786
8388608,64,536870912,1.880602365,1.625312798
16777216,32,536870912,2.136109691,1.626713301
33554432,16,536870912,2.644471417,1.626779241
67108864,8,536870912,3.660899485,1.627146960
134217728,4,536870912,5.691587400,1.625823671
268435456,2,536870912,9.753588884,1.626098840
536870912,1,536870912,17.868229966,1.625938096
