ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,2.164253231,2.164219349
16,33554432,536870912,2.163662803,2.163660905
32,16777216,536870912,2.174357892,2.174355928
64,8388608,536870912,2.161305918,2.161302499
128,4194304,536870912,2.166730970,2.166722235
256,2097152,536870912,2.154294192,2.154280855
512,1048576,536870912,2.186824774,2.186803786
1024,524288,536870912,2.168183352,2.168140870
2048,262144,536870912,2.155441772,2.155367406
4096,131072,536870912,2.160357799,2.160214515
8192,65536,536870912,2.160154614,2.159867248
16384,32768,536870912,2.191653836,2.191078010
32768,16384,536870912,2.196981365,2.195758917
65536,8192,536870912,2.155293976,2.152924866
131072,4096,536870912,2.161266730,2.156513744
262144,2048,536870912,2.177379298,2.167717324
524288,1024,536870912,2.228728040,2.210830182
1048576,512,536870912,2.202966318,2.168383470
2097152,256,536870912,2.268895094,2.201180594
4194304,128,536870912,2.337937169,2.203254098
8388608,64,536870912,2.469930723,2.201122272
16777216,32,536870912,2.787810532,2.244225099
33554432,16,536870912,3.302522680,2.212098167
67108864,8,536870912,4.416296801,2.245272108
134217728,4,536870912,6.542365181,2.221201658
268435456,2,536870912,10.706001957,2.187359668
536870912,1,536870912,19.386862771,2.212591664
