ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
256,2097152,536870912,2.177514910,2.177502695
512,1048576,536870912,2.204746538,2.204729575
1024,524288,536870912,2.203318662,2.203285851
2048,262144,536870912,2.237320371,2.237253792
4096,131072,536870912,2.213151904,2.213020435
8192,65536,536870912,2.216923360,2.216658616
16384,32768,536870912,2.134771362,2.134213552
32768,16384,536870912,2.138760082,2.137583440
65536,8192,536870912,2.140311200,2.137977527
131072,4096,536870912,2.149609784,2.144995067
262144,2048,536870912,2.178145252,2.168824624
524288,1024,536870912,2.238240034,2.220928303
1048576,512,536870912,2.352958674,2.318953974
2097152,256,536870912,2.379664564,2.311143789
4194304,128,536870912,2.440313384,2.304092257
8388608,64,536870912,2.575117542,2.300741424
16777216,32,536870912,2.837104687,2.294097817
33554432,16,536870912,3.372883348,2.289031052
67108864,8,536870912,4.459481693,2.292741937
134217728,4,536870912,6.624013486,2.291337826
268435456,2,536870912,10.960448167,2.290911489
536870912,1,536870912,19.634579518,2.293495508
