Particles = 14000000, Maxiter = 10

NX=250 NY=100
----------

--- Threads = 1 ---

(With Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.429074	0.333233	0.762306
2	0.423780	0.329344	0.753124
3	0.423859	0.328230	0.752089
4	0.423848	0.326975	0.750823
5	0.424031	0.326537	0.750568
6	0.423851	0.325853	0.749704
7	0.423968	0.325842	0.749810
8	0.423723	0.325313	0.749036
9	0.423851	0.324961	0.748812
10	0.423773	0.325081	0.748854
SUM	4.243756	3.271370	7.515126

(Without Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.423783	0.398564	0.822347
2	0.423886	0.397194	0.821080
3	0.423758	0.396619	0.820377
4	0.423762	0.396406	0.820168
5	0.423780	0.396349	0.820129
6	0.424114	0.396797	0.820911
7	0.424188	0.396569	0.820757
8	0.424128	0.396679	0.820808
9	0.424173	0.396712	0.820885
10	0.424196	0.396455	0.820651
SUM	4.239769	3.968344	8.208112

--- Threads = 2 ---

(With Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.424215	0.225151	0.649367
2	0.424306	0.226237	0.650543
3	0.424356	0.225233	0.649589
4	0.424091	0.225428	0.649520
5	0.424143	0.225387	0.649529
6	0.424388	0.225430	0.649818
7	0.424733	0.226722	0.651454
8	0.424368	0.225609	0.649977
9	0.424375	0.226077	0.650452
10	0.424580	0.225221	0.649800
SUM	4.243555	2.256494	6.500049

(Without Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.424552	0.200465	0.625017
2	0.424467	0.200853	0.625320
3	0.437003	0.203550	0.640553
4	0.425038	0.199965	0.625003
5	0.424468	0.200213	0.624681
6	0.424554	0.198836	0.623390
7	0.424497	0.199748	0.624245
8	0.424624	0.200305	0.624929
9	0.424388	0.199310	0.623698
10	0.424639	0.199412	0.624052
SUM	4.258231	2.002657	6.260888

--- Threads = 4 ---

(With Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.424550	0.129259	0.553809
2	0.426238	0.127162	0.553400
3	0.424795	0.127231	0.552026
4	0.424614	0.127641	0.552255
5	0.424703	0.127503	0.552206
6	0.424632	0.127616	0.552248
7	0.424526	0.127091	0.551618
8	0.425106	0.127410	0.552515
9	0.424620	0.126731	0.551351
10	0.424709	0.127437	0.552146
SUM	4.248494	1.275080	5.523574

(Without Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.424497	0.112409	0.536906
2	0.437430	0.112665	0.550095
3	0.424602	0.112038	0.536640
4	0.437210	0.111944	0.549155
5	0.424682	0.112125	0.536807
6	0.435237	0.112273	0.547510
7	0.437116	0.112113	0.549229
8	0.432594	0.112203	0.544797
9	0.436847	0.112250	0.549097
10	0.429538	0.111974	0.541512
SUM	4.319753	1.121995	5.441748

--- Threads = 8 ---

(With Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.436644	0.104450	0.541094
2	0.426455	0.099534	0.525989
3	0.436592	0.104772	0.541364
4	0.424181	0.104834	0.529015
5	0.436750	0.104677	0.541427
6	0.436518	0.105305	0.541823
7	0.435458	0.105119	0.540577
8	0.436696	0.104998	0.541694
9	0.432806	0.104815	0.537621
10	0.436453	0.104901	0.541354
SUM	4.338555	1.043405	5.381959

(Without Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.429601	0.097453	0.527054
2	0.436460	0.097187	0.533647
3	0.428255	0.097086	0.525341
4	0.427531	0.097036	0.524566
5	0.427849	0.097008	0.524857
6	0.436849	0.097137	0.533986
7	0.425696	0.097087	0.522783
8	0.436848	0.097212	0.534060
9	0.425512	0.097150	0.522662
10	0.436889	0.097070	0.533959
SUM	4.311489	0.971427	5.282916

--- Threads = 16 ---

(With Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.435960	0.058276	0.494235
2	0.424584	0.057462	0.482046
3	0.425466	0.057098	0.482564
4	0.425455	0.059844	0.485299
5	0.438221	0.057603	0.495824
6	0.425093	0.057437	0.482529
7	0.425404	0.057818	0.483222
8	0.425458	0.056966	0.482424
9	0.425144	0.056971	0.482114
10	0.425242	0.058108	0.483350
SUM	4.276026	0.577582	4.853608

(Without Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.436454	0.053889	0.490344
2	0.425065	0.049222	0.474287
3	0.436776	0.052162	0.488938
4	0.437207	0.047360	0.484566
5	0.424937	0.051834	0.476770
6	0.425387	0.051621	0.477008
7	0.437091	0.047256	0.484347
8	0.437543	0.048977	0.486520
9	0.425501	0.051559	0.477060
10	0.437541	0.047425	0.484966
SUM	4.323502	0.501304	4.824806

NX=500 NY=200
----------

--- Threads = 1 ---

(With Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.434352	0.584333	1.018685
2	0.434203	0.581996	1.016199
3	0.434155	0.581153	1.015308
4	0.434207	0.580816	1.015023
5	0.434216	0.580384	1.014600
6	0.434174	0.579922	1.014096
7	0.434244	0.580025	1.014269
8	0.434273	0.579659	1.013931
9	0.434429	0.579626	1.014054
10	0.434194	0.579732	1.013926
SUM	4.342446	5.807646	10.150092

(Without Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.434261	0.395062	0.829323
2	0.434228	0.394601	0.828829
3	0.434210	0.394127	0.828336
4	0.434467	0.393930	0.828398
5	0.434513	0.393786	0.828299
6	0.434289	0.394142	0.828431
7	0.434209	0.394050	0.828258
8	0.434179	0.394215	0.828393
9	0.434154	0.393689	0.827843
10	0.434341	0.393912	0.828253
SUM	4.342850	3.941513	8.284363

--- Threads = 2 ---

(With Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.434393	0.222171	0.656564
2	0.434172	0.222097	0.656268
3	0.434149	0.224114	0.658262
4	0.707821	0.222358	0.930179
5	0.434521	0.222016	0.656538
6	0.434151	0.222128	0.656279
7	0.434384	0.222508	0.656892
8	0.434558	0.224129	0.658687
9	0.707529	0.224659	0.932188
10	0.545102	0.223734	0.768837
SUM	5.000779	2.229915	7.230694

(Without Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.707620	0.201751	0.909370
2	0.707883	0.201809	0.909692
3	0.555142	0.199544	0.754686
4	0.707852	0.201521	0.909373
5	0.440302	0.199824	0.640125
6	0.707659	0.202010	0.909669
7	0.707697	0.202969	0.910665
8	0.707983	0.202861	0.910843
9	0.684695	0.203044	0.887739
10	0.708098	0.203039	0.911137
SUM	6.634929	2.018370	8.653299

--- Threads = 4 ---

(With Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.707466	0.125767	0.833233
2	0.708293	0.124078	0.832371
3	0.708699	0.124546	0.833246
4	0.550911	0.124313	0.675224
5	0.435054	0.124234	0.559289
6	0.434899	0.123812	0.558711
7	0.435034	0.123858	0.558892
8	0.434735	0.124153	0.558889
9	0.434762	0.125513	0.560276
10	0.708794	0.124579	0.833373
SUM	5.558648	1.244855	6.803503

(Without Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.434660	0.112379	0.547039
2	0.708261	0.112610	0.820871
3	0.708453	0.112594	0.821047
4	0.708533	0.112461	0.820994
5	0.708256	0.112743	0.820999
6	0.489884	0.112365	0.602250
7	0.708481	0.112392	0.820873
8	0.708364	0.112613	0.820977
9	0.708435	0.111230	0.819665
10	0.708539	0.111155	0.819694
SUM	6.591867	1.122542	7.714408

--- Threads = 8 ---

(With Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.520742	0.069031	0.589773
2	0.707977	0.068053	0.776030
3	0.707996	0.068071	0.776067
4	0.708054	0.067977	0.776031
5	0.695010	0.069315	0.764325
6	0.493559	0.069341	0.562899
7	0.482492	0.069777	0.552269
8	0.435270	0.067989	0.503260
9	0.435424	0.068380	0.503804
10	0.435512	0.068148	0.503660
SUM	5.622036	0.686082	6.308117

(Without Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.435228	0.061259	0.496487
2	0.709121	0.060761	0.769882
3	0.680919	0.060730	0.741649
4	0.673794	0.060898	0.734692
5	0.708533	0.060092	0.768626
6	0.707914	0.059956	0.767869
7	0.708087	0.060856	0.768942
8	0.707968	0.060764	0.768732
9	0.463999	0.060964	0.524963
10	0.707789	0.060785	0.768573
SUM	6.503352	0.607064	7.110416

--- Threads = 16 ---

(With Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.707388	0.053679	0.761067
2	0.708407	0.052474	0.760881
3	0.708718	0.055699	0.764417
4	0.614946	0.055988	0.670934
5	0.435670	0.056067	0.491737
6	0.707748	0.055683	0.763430
7	0.435336	0.051714	0.487050
8	0.435490	0.055690	0.491180
9	0.435321	0.053983	0.489303
10	0.707805	0.055558	0.763363
SUM	5.896827	0.546536	6.443363

(Without Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.536913	0.047718	0.584631
2	0.436026	0.051841	0.487867
3	0.708418	0.047532	0.755951
4	0.708709	0.051885	0.760594
5	0.708946	0.047418	0.756364
6	0.436189	0.048092	0.484280
7	0.608070	0.047319	0.655389
8	0.435754	0.047474	0.483228
9	0.708297	0.046955	0.755252
10	0.435485	0.046620	0.482105
SUM	5.722807	0.482854	6.205661

NX=1000 NY=400
----------

--- Threads = 1 ---

(With Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.438299	0.581069	1.019368
2	0.437190	0.579664	1.016854
3	0.437078	0.579157	1.016235
4	0.437069	0.578708	1.015776
5	0.437366	0.578837	1.016203
6	0.437092	0.578467	1.015559
7	0.437240	0.578527	1.015767
8	0.437196	0.578097	1.015293
9	0.437477	0.578429	1.015905
10	0.437583	0.578676	1.016259
SUM	4.373590	5.789629	10.163220

(Without Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.437554	0.392770	0.830324
2	0.437250	0.392670	0.829920
3	0.437235	0.392465	0.829700
4	0.437561	0.392763	0.830324
5	0.437731	0.392481	0.830212
6	0.437461	0.392300	0.829761
7	0.437501	0.392955	0.830455
8	0.437554	0.393009	0.830563
9	0.437508	0.392697	0.830205
10	0.437486	0.392638	0.830123
SUM	4.374840	3.926748	8.301588

--- Threads = 2 ---

(With Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.437868	0.220380	0.658248
2	0.437446	0.222321	0.659768
3	0.674361	0.220923	0.895284
4	0.691909	0.221048	0.912956
5	0.567524	0.220256	0.787781
6	0.437159	0.220723	0.657882
7	0.436929	0.220615	0.657544
8	0.436876	0.220340	0.657216
9	0.437134	0.220404	0.657538
10	0.437011	0.220936	0.657947
SUM	4.994217	2.207946	7.202163

(Without Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.436854	0.200893	0.637747
2	0.692257	0.201134	0.893391
3	0.691968	0.200903	0.892871
4	0.692217	0.201023	0.893240
5	0.691917	0.200912	0.892829
6	0.452113	0.200778	0.652891
7	0.691885	0.201191	0.893076
8	0.692756	0.200904	0.893661
9	0.681010	0.200744	0.881754
10	0.691891	0.200474	0.892365
SUM	6.414868	2.008956	8.423824

--- Threads = 4 ---

(With Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.691725	0.122364	0.814089
2	0.691828	0.122309	0.814137
3	0.691697	0.122440	0.814137
4	0.703121	0.122407	0.825528
5	0.437304	0.122380	0.559684
6	0.437158	0.123247	0.560405
7	0.437181	0.122685	0.559866
8	0.437096	0.122654	0.559750
9	0.436985	0.122284	0.559269
