Particles = 14000000, Maxiter = 10

NX=250 NY=100
----------

--- Threads = 1 ---

(With Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.054135	0.197844	0.251979
2	0.041522	0.189497	0.231019
3	0.041552	0.189299	0.230851
4	0.041607	0.187759	0.229366
5	0.041456	0.186659	0.228115
6	0.041369	0.187470	0.228839
7	0.041715	0.229797	0.271512
8	0.042561	0.192769	0.235330
9	0.048514	0.259289	0.307803
10	0.043488	0.236090	0.279578
SUM	0.437919	2.056473	2.494392

(Without Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.042373	0.055384	0.097757
2	0.044377	0.057244	0.101621
3	0.042795	0.054410	0.097205
4	0.042418	0.055057	0.097475
5	0.042900	0.054261	0.097161
6	0.043249	0.053807	0.097056
7	0.041756	0.052576	0.094332
8	0.041422	0.052340	0.093762
9	0.041488	0.053984	0.095472
10	0.045678	0.053107	0.098785
SUM	0.428456	0.542170	0.970626

--- Threads = 2 ---

(With Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.041520	0.026840	0.068360
2	0.041830	0.026744	0.068574
3	0.041525	0.026773	0.068298
4	0.041342	0.026752	0.068094
5	0.041088	0.026735	0.067823
6	0.041411	0.026680	0.068091
7	0.041150	0.026895	0.068045
8	0.041188	0.026787	0.067975
9	0.041057	0.026736	0.067793
10	0.041288	0.026758	0.068046
SUM	0.413399	0.267700	0.681099

(Without Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.041382	0.027298	0.068680
2	0.041219	0.027118	0.068337
3	0.041260	0.026911	0.068171
4	0.041280	0.027781	0.069061
5	0.041434	0.026934	0.068368
6	0.041464	0.027456	0.068920
7	0.048738	0.028087	0.076825
8	0.042799	0.027632	0.070431
9	0.042786	0.027323	0.070109
10	0.042035	0.026925	0.068960
SUM	0.424397	0.273465	0.697862

--- Threads = 4 ---

(With Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.041391	0.015945	0.057336
2	0.042349	0.014145	0.056494
3	0.041629	0.014591	0.056220
4	0.041395	0.014047	0.055442
5	0.044485	0.014888	0.059373
6	0.042908	0.014574	0.057482
7	0.042185	0.014454	0.056639
8	0.042050	0.014665	0.056715
9	0.041586	0.014091	0.055677
10	0.041470	0.014963	0.056433
SUM	0.421448	0.146363	0.567811

(Without Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.042342	0.014243	0.056585
2	0.043787	0.015079	0.058866
3	0.044394	0.016146	0.060540
4	0.045643	0.015244	0.060887
5	0.043532	0.014924	0.058456
6	0.043019	0.014564	0.057583
7	0.042626	0.014710	0.057336
8	0.042186	0.014380	0.056566
9	0.042771	0.014175	0.056946
10	0.041530	0.013978	0.055508
SUM	0.431830	0.147443	0.579273

--- Threads = 8 ---

(With Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.056736	0.015228	0.071964
2	0.042946	0.011417	0.054363
3	0.042500	0.010503	0.053003
4	0.042363	0.010888	0.053251
5	0.042587	0.011118	0.053705
6	0.042392	0.010906	0.053298
7	0.042048	0.011558	0.053606
8	0.041938	0.011961	0.053899
9	0.041218	0.010632	0.051850
10	0.041499	0.010439	0.051938
SUM	0.436227	0.114650	0.550877

(Without Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.041800	0.011369	0.053169
2	0.041785	0.011533	0.053318
3	0.042195	0.010656	0.052851
4	0.041920	0.010951	0.052871
5	0.041437	0.010520	0.051957
6	0.041401	0.010870	0.052271
7	0.041610	0.009712	0.051322
8	0.041305	0.009799	0.051104
9	0.041324	0.010560	0.051884
10	0.041279	0.009921	0.051200
SUM	0.416056	0.105891	0.521947

--- Threads = 16 ---

(With Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.041652	0.009980	0.051632
2	0.041548	0.009727	0.051275
3	0.041317	0.009846	0.051163
4	0.041586	0.009840	0.051426
5	0.041280	0.009639	0.050919
6	0.041339	0.010307	0.051646
7	0.041559	0.010979	0.052538
8	0.041444	0.010452	0.051896
9	0.041500	0.011710	0.053210
10	0.042499	0.012569	0.055068
SUM	0.415724	0.105049	0.520773

(Without Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.041865	0.010775	0.052640
2	0.041356	0.010036	0.051392
3	0.041596	0.009198	0.050794
4	0.041622	0.009123	0.050745
5	0.041505	0.009598	0.051103
