Config,Mode,Threads,Time
input_A.bin,Parallel,2,0.019568
input_A.bin,Parallel,4,0.011621
input_A.bin,Parallel,6,0.009323
input_A.bin,Parallel,8,0.010865
input_A.bin,Parallel,10,0.00989
input_A.bin,Parallel,12,0.010094
input_A.bin,Parallel,14,0.014178
input_A.bin,Parallel,16,0.015004
input_B.bin,Parallel,2,0.095626
input_B.bin,Parallel,4,0.055321
input_B.bin,Parallel,6,0.043244
input_B.bin,Parallel,8,0.047968
input_B.bin,Parallel,10,0.041919
input_B.bin,Parallel,12,0.052634
input_B.bin,Parallel,14,0.052968
input_B.bin,Parallel,16,0.052924
input_C.bin,Parallel,2,0.075114
input_C.bin,Parallel,4,0.044289
input_C.bin,Parallel,6,0.040863
input_C.bin,Parallel,8,0.044117
input_C.bin,Parallel,10,0.041355
input_C.bin,Parallel,12,0.044882
input_C.bin,Parallel,14,0.058056
input_C.bin,Parallel,16,0.058568
input_D.bin,Parallel,2,0.386866
input_D.bin,Parallel,4,0.221815
input_D.bin,Parallel,6,0.167981
input_D.bin,Parallel,8,0.204285
input_D.bin,Parallel,10,0.17596
input_D.bin,Parallel,12,0.16182
input_D.bin,Parallel,14,0.211013
input_D.bin,Parallel,16,0.198405
input_E.bin,Parallel,2,0.553066
input_E.bin,Parallel,4,0.32018
input_E.bin,Parallel,6,0.393519
input_E.bin,Parallel,8,0.567585
input_E.bin,Parallel,10,1.066967
input_E.bin,Parallel,12,1.697572
input_E.bin,Parallel,14,1.578164
input_E.bin,Parallel,16,1.614111
input_A.bin,Serial,1,0.032156
input_B.bin,Serial,1,0.175434
input_C.bin,Serial,1,0.130188
input_D.bin,Serial,1,0.724201
input_E.bin,Serial,1,1.030427
