Config,Cores,Total_Alg_Time,Int_Time,Norm_Time,Mover_Time,Denorm_Time,Voids
A,1,0.249033,0.108826,0.001009,0.138973,0.000224,2
A,2,0.124286,0.055936,0.000507,0.067689,0.000153,2
A,4,0.069103,0.031641,0.000324,0.036902,0.000237,2
A,6,0.053133,0.026896,0.000272,0.02572,0.000245,2
A,8,0.058342,0.029228,0.000315,0.02853,0.000272,2
A,10,0.055836,0.030066,0.000338,0.025157,0.000275,2
A,12,0.051382,0.029785,0.000424,0.020851,0.000323,2
A,14,0.048306,0.028677,0.000345,0.01923,0.000284,2
A,16,0.051604,0.031398,0.000985,0.01893,0.000291,2
B,1,1.18817,0.519538,0.000877,0.667562,0.000194,13
B,2,0.663596,0.293749,0.000498,0.369208,0.000141,13
B,4,0.362796,0.164184,0.000347,0.19792,0.000345,13
B,6,0.287419,0.134155,0.000289,0.152566,0.000409,13
B,8,0.291356,0.135344,0.00029,0.155294,0.000428,13
B,10,0.253504,0.118311,0.000325,0.134355,0.000512,13
B,12,0.319076,0.15978,0.000352,0.158242,0.000701,13
B,14,0.292941,0.137766,0.000348,0.154383,0.000444,13
B,16,0.277879,0.129065,0.000346,0.146974,0.001494,13
C,1,1.161094,0.514697,0.003661,0.641951,0.000786,2
C,2,0.592738,0.265934,0.001882,0.324435,0.000487,2
C,4,0.455575,0.222936,0.001051,0.230696,0.000892,2
C,6,0.232755,0.111011,0.000792,0.1202,0.000752,2
C,8,0.359845,0.174391,0.000648,0.183885,0.00092,2
C,10,0.295073,0.144181,0.00091,0.147671,0.002316,2
C,12,0.270429,0.137836,0.000799,0.129023,0.002771,2
C,14,0.23676,0.129794,0.000735,0.105299,0.000932,2
C,16,0.221265,0.124334,0.000721,0.095123,0.001087,2
D,1,6.858749,3.040388,0.003873,3.813634,0.000854,10
D,2,4.408912,1.915417,0.001998,2.490725,0.000773,10
D,4,2.43796,1.122152,0.001166,1.313591,0.001051,10
D,6,1.932907,0.852263,0.000805,1.078462,0.001377,10
D,8,1.692437,0.764626,0.000791,0.925371,0.001649,10
D,10,1.337292,0.623756,0.000918,0.709975,0.002642,10
D,12,1.202145,0.552618,0.000982,0.645125,0.003421,10
D,14,1.202186,0.591115,0.001028,0.60467,0.005371,10
D,16,1.153131,0.605873,0.000807,0.539626,0.006825,10
E,1,11.873569,5.265402,0.017599,6.586999,0.003569,0
E,2,3.83327,1.830267,0.007653,1.993072,0.002277,0
E,4,3.174712,1.436387,0.004136,1.730171,0.004018,0
E,6,2.137812,1.199308,0.003038,0.933031,0.002436,0
E,8,1.639285,0.971907,0.002898,0.661294,0.003187,0
E,10,1.598942,1.032577,0.003532,0.559989,0.002844,0
E,12,1.795083,1.172202,0.003988,0.61576,0.003143,0
E,14,1.560169,1.027377,0.005694,0.522685,0.004414,0
E,16,1.604575,1.141517,0.004176,0.453484,0.005397,0
