Config,Cores,Total_Alg_Time,Int_Time,Norm_Time,Mover_Time,Denorm_Time,Voids
A,1,0.084045,0.034822,0.000341,0.048832,0.000049,5
A,2,0.047120,0.019909,0.000197,0.026971,0.000043,5
A,4,0.025791,0.011354,0.000116,0.014283,0.000038,5
A,6,0.018812,0.008780,0.000094,0.009896,0.000042,5
A,8,0.023829,0.010938,0.000099,0.012745,0.000048,5
A,10,0.020305,0.009891,0.000090,0.010282,0.000042,5
A,12,0.019285,0.009478,0.000096,0.009664,0.000046,5
A,14,0.026233,0.012999,0.000628,0.012175,0.000432,5
A,16,0.028504,0.013181,0.000788,0.013945,0.000589,5
B,1,0.459980,0.191260,0.000343,0.268326,0.000052,15
B,2,0.236590,0.098631,0.000182,0.137733,0.000044,15
B,4,0.130370,0.053629,0.000107,0.076594,0.000041,15
B,6,0.119407,0.045607,0.000093,0.073649,0.000058,15
B,8,0.140703,0.052500,0.000094,0.088046,0.000063,15
B,10,0.124811,0.044629,0.000097,0.080031,0.000054,15
B,12,0.124048,0.040397,0.000137,0.083453,0.000061,15
B,14,0.159245,0.058466,0.001684,0.098048,0.001046,15
B,16,0.152315,0.054364,0.001358,0.095829,0.000763,15
C,1,0.346589,0.143029,0.001348,0.202026,0.000185,1
C,2,0.178356,0.074989,0.000683,0.102534,0.000151,1
C,4,0.102538,0.044292,0.000381,0.057744,0.000121,1
C,6,0.087782,0.033803,0.000277,0.053576,0.000127,1
C,8,0.114229,0.047160,0.000325,0.066604,0.000140,1
C,10,0.098941,0.041252,0.000242,0.057309,0.000139,1
C,12,0.102079,0.037918,0.000330,0.063689,0.000141,1
C,14,0.132386,0.056501,0.002393,0.072323,0.001169,1
C,16,0.141704,0.064606,0.001773,0.074332,0.000994,1
D,1,1.906316,0.786288,0.001363,1.118455,0.000210,5
D,2,0.981910,0.405473,0.000708,0.575562,0.000166,5
D,4,0.546106,0.215963,0.000367,0.329654,0.000122,5
D,6,0.502352,0.165456,0.000284,0.336477,0.000135,5
D,8,0.625333,0.227477,0.000346,0.396308,0.001202,5
D,10,0.538020,0.188051,0.000256,0.348656,0.001056,5
D,12,0.531092,0.168212,0.000383,0.362354,0.000143,5
D,14,0.593097,0.209221,0.003756,0.378128,0.001993,5
D,16,0.565218,0.196745,0.003207,0.363508,0.001757,5
E,1,2.066132,1.087401,0.005896,0.971835,0.000999,1
E,2,1.066561,0.560003,0.002931,0.502782,0.000845,1
E,4,0.595014,0.316765,0.001600,0.276130,0.000519,1
E,6,0.686824,0.419578,0.001350,0.265418,0.000477,1
E,8,0.933380,0.628204,0.001562,0.303077,0.000537,1
E,10,1.369397,1.095075,0.001775,0.272041,0.000506,1
E,12,2.136374,1.843649,0.003263,0.289024,0.000437,1
E,14,2.012485,1.717091,0.005050,0.288638,0.001705,1
E,16,2.021277,1.733307,0.005330,0.280845,0.001796,1
