Cores,TotalTime,mpi,omp,interp,reduce,broadcast,norm,mover,denorm
2,0.4856,1,2,0.210563,0.000186,3e-06,0.001714,0.2721,0.000775
2,0.24634,2,1,0.105285,0.002615,0.000758,0.001698,0.134966,0.00077
4,0.487731,1,4,0.210291,0.000184,2e-06,0.001707,0.274511,0.000777
4,0.248287,2,2,0.104866,0.001831,0.000763,0.001701,0.138101,0.000776
4,0.143635,4,1,0.054364,0.017419,0.000713,0.001703,0.068529,0.000768
8,0.485078,1,8,0.210545,0.000185,2e-06,0.001701,0.271618,0.000776
8,0.24871,2,4,0.105574,0.001895,0.00075,0.001702,0.137772,0.000767
8,0.144092,4,2,0.053483,0.018082,0.000708,0.001699,0.069211,0.00077
8,0.092486,8,1,0.030176,0.021372,0.00076,0.001854,0.037163,0.000858
16,0.48096,1,16,0.209544,0.000177,7e-06,0.001755,0.268451,0.000773
16,0.248017,2,8,0.10466,0.003963,0.00075,0.001698,0.13588,0.000776
16,0.14516,4,4,0.052851,0.020755,0.00072,0.001692,0.068128,0.000797
16,0.098286,8,2,0.029837,0.027568,0.000779,0.001907,0.037041,0.000879
16,0.062069,16,1,0.017096,0.019602,0.000867,0.00211,0.02062,0.001248
32,0.481274,1,32,0.209134,0.000189,3e-06,0.001698,0.269226,0.000772
32,0.244582,2,16,0.105199,0.001922,0.000772,0.001698,0.133959,0.000771
32,0.148097,4,8,0.053704,0.021188,0.000729,0.001692,0.069768,0.000816
32,0.094674,8,4,0.030277,0.022498,0.00075,0.001943,0.03803,0.000872
32,0.063166,16,2,0.017463,0.020718,0.000867,0.002061,0.020549,0.000934
32,0.247472,32,1,0.009055,0.200442,0.016187,0.002062,0.010017,0.000932
64,0.486889,1,64,0.208834,0.000185,4e-06,0.001702,0.275145,0.000778
64,0.248188,2,32,0.105621,0.004719,0.00077,0.001703,0.13411,0.000768
64,0.144776,4,16,0.053873,0.019001,0.000725,0.001693,0.068436,0.000825
64,0.092761,8,8,0.030074,0.020712,0.000759,0.001987,0.038136,0.000851
64,0.063433,16,4,0.017095,0.021411,0.000879,0.002059,0.02051,0.000926
64,0.24182,32,2,0.010101,0.205875,0.011832,0.002062,0.01003,0.000924
64,0.258874,64,1,0.005105,0.220795,0.016742,0.002071,0.005014,0.000936
