Cores,TotalTime,mpi,omp,interp,reduce,broadcast,norm,mover,denorm
2,2.365801,1,2,1.028173,0.001035,4e-06,0.006689,1.325775,0.003059
2,1.20553,2,1,0.52168,0.005324,0.001867,0.00669,0.6658,0.003047
4,2.366246,1,4,1.030177,0.001029,5e-06,0.006733,1.324178,0.00305
4,1.204168,2,2,0.51967,0.006022,0.001842,0.006683,0.665688,0.003036
4,0.637883,4,1,0.262072,0.028331,0.002144,0.007071,0.333876,0.003065
8,2.366139,1,8,1.02844,0.001021,8e-06,0.006688,1.325754,0.003163
8,1.203871,2,4,0.519226,0.006606,0.001832,0.006694,0.665211,0.003054
8,0.636189,4,2,0.260705,0.028703,0.002189,0.006976,0.333439,0.003033
8,0.397972,8,1,0.145192,0.055761,0.002453,0.007506,0.181842,0.00334
16,2.363594,1,16,1.027185,0.001175,4e-06,0.006692,1.324442,0.003042
16,1.20651,2,8,0.521525,0.006853,0.001842,0.006738,0.665261,0.003038
16,0.63646,4,4,0.26141,0.027704,0.00214,0.007066,0.333673,0.003039
16,0.399003,8,2,0.145041,0.057633,0.002548,0.00748,0.18063,0.003342
16,0.300763,16,1,0.087192,0.092682,0.004776,0.008482,0.098121,0.003721
32,2.366636,1,32,1.029583,0.001162,4e-06,0.006677,1.325108,0.003042
32,1.204384,2,16,0.52051,0.005804,0.001832,0.006792,0.665163,0.003044
32,0.637325,4,8,0.261488,0.028574,0.002124,0.006864,0.33333,0.003053
32,0.397083,8,4,0.143936,0.057402,0.002451,0.00756,0.180524,0.003329
32,0.300076,16,2,0.085784,0.09447,0.004835,0.008358,0.097806,0.003734
32,0.724688,32,1,0.050688,0.544333,0.040337,0.008788,0.048536,0.003701
64,2.366379,1,64,1.02825,0.001173,5e-06,0.006689,1.326149,0.003041
64,1.204599,2,32,0.520149,0.005785,0.001829,0.006697,0.665954,0.003053
64,0.637312,4,16,0.260912,0.028301,0.002138,0.007003,0.334595,0.003043
64,0.39884,8,8,0.145561,0.055708,0.00247,0.007569,0.182472,0.003364
64,0.296411,16,4,0.086637,0.089646,0.004929,0.00844,0.097678,0.003707
64,0.748754,32,2,0.050675,0.574328,0.041234,0.008325,0.049142,0.003708
64,0.508843,64,1,0.031291,0.351691,0.06492,0.008347,0.024317,0.003708
