Cores,TotalTime,mpi,omp,interp,reduce,broadcast,norm,mover,denorm
2,20.728112,1,2,8.887366,0.00121,1.4e-05,0.008837,11.824312,0.004209
2,6.57602,2,1,2.85837,0.007418,0.001864,0.006686,3.697422,0.003047
4,13.057715,1,4,5.693135,0.001192,1.7e-05,0.006703,7.352278,0.003061
4,6.576334,2,2,2.849659,0.018817,0.001828,0.006688,3.693624,0.003084
4,3.316848,4,1,1.421534,0.036333,0.002078,0.006836,1.845397,0.003051
8,13.072421,1,8,5.697316,0.001184,1.3e-05,0.006695,7.362824,0.003059
8,6.567441,2,4,2.857053,0.005653,0.001856,0.0067,3.691652,0.003047
8,3.310957,4,2,1.420779,0.033202,0.002205,0.006788,1.843252,0.003052
8,1.838985,8,1,0.768689,0.05937,0.002541,0.007417,0.995233,0.003347
16,20.927928,1,16,8.797875,0.001332,2.1e-05,0.006821,12.117302,0.003122
16,11.67731,2,8,5.062235,0.078737,0.001881,0.006882,6.502301,0.003124
16,5.34671,4,4,2.254826,0.291236,0.002462,0.0233,2.770175,0.003348
16,3.155088,8,2,1.298588,0.131177,0.002986,0.007777,1.709219,0.003463
16,1.241812,16,1,0.47233,0.146581,0.005788,0.008841,0.60041,0.004072
32,21.409557,1,32,8.905983,0.001539,1.5e-05,0.019995,12.465205,0.003375
32,11.886595,2,16,5.056703,0.046273,0.001938,0.007134,6.756988,0.003317
32,6.113691,4,8,2.559738,0.389054,0.019574,0.007204,3.133573,0.00325
32,3.464666,8,4,1.046621,1.016886,0.008668,0.020894,1.359404,0.003634
32,3.488555,16,2,0.618204,1.941386,0.049468,0.021615,0.837939,0.0038
32,1.314497,32,1,0.219774,0.732485,0.048271,0.008264,0.271998,0.003716
64,13.074932,1,64,5.695484,0.001179,1.6e-05,0.006698,7.367134,0.003069
64,6.571093,2,32,2.856827,0.008104,0.001853,0.006698,3.693311,0.003044
64,3.309336,4,16,1.422099,0.029027,0.00214,0.006965,1.844249,0.003061
64,1.83586,8,8,0.766492,0.060086,0.002506,0.0077,0.993616,0.003379
64,1.080641,16,4,0.427868,0.086961,0.004889,0.008465,0.543272,0.00371
64,1.335449,32,2,0.218433,0.7445,0.042324,0.008333,0.273184,0.003766
64,0.923899,64,1,0.117491,0.583806,0.057011,0.00819,0.135282,0.00369
