Cores,TotalTime,mpi,omp,interp,reduce,broadcast,norm,mover,denorm
2,0.000433,1,2,0.000195,1.2e-05,0.0,7.6e-05,0.000106,3.9e-05
2,0.000315,2,1,6.5e-05,4.8e-05,0.000115,8e-06,7.5e-05,2e-06
4,0.000638,1,4,0.000245,5e-06,1e-06,0.000168,0.000144,7.4e-05
4,0.000454,2,2,0.000138,1.6e-05,4.2e-05,0.00011,9e-05,5.5e-05
4,0.000673,4,1,3.8e-05,2.3e-05,0.000559,9e-06,3.7e-05,5e-06
8,0.00187,1,8,0.000608,4e-06,0.0,0.000727,0.000282,0.000246
8,0.001598,2,4,0.000399,0.00012,0.000328,0.000369,0.000205,0.000159
8,0.001683,4,2,0.000312,0.000141,0.000652,0.000291,0.000126,0.000126
8,0.0013,8,1,2.7e-05,0.000107,0.000969,1e-05,2e-05,3e-06
16,0.00387,1,16,0.001195,4e-06,2e-06,0.001612,0.000561,0.000493
16,0.001788,2,8,0.000536,3.1e-05,5.3e-05,0.000716,0.000229,0.000217
16,0.002646,4,4,0.000643,0.00032,0.000289,0.000761,0.000356,0.000272
16,0.002298,8,2,0.000543,0.000104,0.000399,0.000558,0.000292,0.000271
16,0.001337,16,1,2.8e-05,0.000336,0.000829,2.1e-05,2.5e-05,7e-06
32,0.003815,1,32,0.001295,5e-06,0.0,0.001503,0.00052,0.000489
32,0.006628,2,16,0.001804,0.000114,0.000308,0.002684,0.000828,0.000859
32,0.006142,4,8,0.001557,0.000365,0.000369,0.002313,0.000784,0.000726
32,0.006583,8,4,0.001306,0.002459,6.5e-05,0.001183,0.000578,0.000622
32,0.004097,16,2,0.000497,0.000912,0.001437,0.00051,0.000277,0.000224
32,0.003679,32,1,1.6e-05,0.00209,0.001533,1.7e-05,1e-05,6e-06
64,0.014503,1,64,0.00455,4e-06,0.0,0.006162,0.001902,0.001881
64,0.011999,2,32,0.003198,0.000182,8.4e-05,0.005273,0.001634,0.001623
64,0.011987,4,16,0.002982,0.000424,0.000335,0.004941,0.001687,0.001605
64,0.016784,8,8,0.002898,0.005657,0.000433,0.004714,0.001452,0.001467
64,0.009199,16,4,0.001089,0.00177,0.003158,0.001158,0.000641,0.000639
64,0.009397,32,2,0.000672,0.005587,0.002025,0.000487,0.000249,0.000254
64,0.00654,64,1,1.4e-05,0.004613,0.00125,1.6e-05,9e-06,1e-06
