mpi,omp,interp,reduce,broadcast,norm,mover,denorm,total
1,2,0.210563,0.000186,0.000003,0.001714,0.272100,0.000775,0.485600
2,1,0.105285,0.002615,0.000758,0.001698,0.134966,0.000770,0.246340
1,4,0.210291,0.000184,0.000002,0.001707,0.274511,0.000777,0.487731
2,2,0.104866,0.001831,0.000763,0.001701,0.138101,0.000776,0.248287
4,1,0.054364,0.017419,0.000713,0.001703,0.068529,0.000768,0.143635
1,8,0.210545,0.000185,0.000002,0.001701,0.271618,0.000776,0.485078
2,4,0.105574,0.001895,0.000750,0.001702,0.137772,0.000767,0.248710
4,2,0.053483,0.018082,0.000708,0.001699,0.069211,0.000770,0.144092
8,1,0.030176,0.021372,0.000760,0.001854,0.037163,0.000858,0.092486
1,16,0.209544,0.000177,0.000007,0.001755,0.268451,0.000773,0.480960
2,8,0.104660,0.003963,0.000750,0.001698,0.135880,0.000776,0.248017
4,4,0.052851,0.020755,0.000720,0.001692,0.068128,0.000797,0.145160
8,2,0.029837,0.027568,0.000779,0.001907,0.037041,0.000879,0.098286
16,1,0.017096,0.019602,0.000867,0.002110,0.020620,0.001248,0.062069
1,32,0.209134,0.000189,0.000003,0.001698,0.269226,0.000772,0.481274
2,16,0.105199,0.001922,0.000772,0.001698,0.133959,0.000771,0.244582
4,8,0.053704,0.021188,0.000729,0.001692,0.069768,0.000816,0.148097
8,4,0.030277,0.022498,0.000750,0.001943,0.038030,0.000872,0.094674
16,2,0.017463,0.020718,0.000867,0.002061,0.020549,0.000934,0.063166
32,1,0.009055,0.200442,0.016187,0.002062,0.010017,0.000932,0.247472
1,64,0.208834,0.000185,0.000004,0.001702,0.275145,0.000778,0.486889
2,32,0.105621,0.004719,0.000770,0.001703,0.134110,0.000768,0.248188
4,16,0.053873,0.019001,0.000725,0.001693,0.068436,0.000825,0.144776
8,8,0.030074,0.020712,0.000759,0.001987,0.038136,0.000851,0.092761
16,4,0.017095,0.021411,0.000879,0.002059,0.020510,0.000926,0.063433
32,2,0.010101,0.205875,0.011832,0.002062,0.010030,0.000924,0.241820
64,1,0.005105,0.220795,0.016742,0.002071,0.005014,0.000936,0.258874
