mpi,omp,interp,reduce,broadcast,norm,mover,denorm,total
1,2,1.028173,0.001035,0.000004,0.006689,1.325775,0.003059,2.365801
2,1,0.521680,0.005324,0.001867,0.006690,0.665800,0.003047,1.205530
1,4,1.030177,0.001029,0.000005,0.006733,1.324178,0.003050,2.366246
2,2,0.519670,0.006022,0.001842,0.006683,0.665688,0.003036,1.204168
4,1,0.262072,0.028331,0.002144,0.007071,0.333876,0.003065,0.637883
1,8,1.028440,0.001021,0.000008,0.006688,1.325754,0.003163,2.366139
2,4,0.519226,0.006606,0.001832,0.006694,0.665211,0.003054,1.203871
4,2,0.260705,0.028703,0.002189,0.006976,0.333439,0.003033,0.636189
8,1,0.145192,0.055761,0.002453,0.007506,0.181842,0.003340,0.397972
1,16,1.027185,0.001175,0.000004,0.006692,1.324442,0.003042,2.363594
2,8,0.521525,0.006853,0.001842,0.006738,0.665261,0.003038,1.206510
4,4,0.261410,0.027704,0.002140,0.007066,0.333673,0.003039,0.636460
8,2,0.145041,0.057633,0.002548,0.007480,0.180630,0.003342,0.399003
16,1,0.087192,0.092682,0.004776,0.008482,0.098121,0.003721,0.300763
1,32,1.029583,0.001162,0.000004,0.006677,1.325108,0.003042,2.366636
2,16,0.520510,0.005804,0.001832,0.006792,0.665163,0.003044,1.204384
4,8,0.261488,0.028574,0.002124,0.006864,0.333330,0.003053,0.637325
8,4,0.143936,0.057402,0.002451,0.007560,0.180524,0.003329,0.397083
16,2,0.085784,0.094470,0.004835,0.008358,0.097806,0.003734,0.300076
32,1,0.050688,0.544333,0.040337,0.008788,0.048536,0.003701,0.724688
1,64,1.028250,0.001173,0.000005,0.006689,1.326149,0.003041,2.366379
2,32,0.520149,0.005785,0.001829,0.006697,0.665954,0.003053,1.204599
4,16,0.260912,0.028301,0.002138,0.007003,0.334595,0.003043,0.637312
8,8,0.145561,0.055708,0.002470,0.007569,0.182472,0.003364,0.398840
16,4,0.086637,0.089646,0.004929,0.008440,0.097678,0.003707,0.296411
32,2,0.050675,0.574328,0.041234,0.008325,0.049142,0.003708,0.748754
64,1,0.031291,0.351691,0.064920,0.008347,0.024317,0.003708,0.508843
