mpi,omp,interp,reduce,broadcast,norm,mover,denorm,total
1,2,8.887366,0.001210,0.000014,0.008837,11.824312,0.004209,20.728112
2,1,2.858370,0.007418,0.001864,0.006686,3.697422,0.003047,6.576020
1,4,5.693135,0.001192,0.000017,0.006703,7.352278,0.003061,13.057715
2,2,2.849659,0.018817,0.001828,0.006688,3.693624,0.003084,6.576334
4,1,1.421534,0.036333,0.002078,0.006836,1.845397,0.003051,3.316848
1,8,5.697316,0.001184,0.000013,0.006695,7.362824,0.003059,13.072421
2,4,2.857053,0.005653,0.001856,0.006700,3.691652,0.003047,6.567441
4,2,1.420779,0.033202,0.002205,0.006788,1.843252,0.003052,3.310957
8,1,0.768689,0.059370,0.002541,0.007417,0.995233,0.003347,1.838985
1,16,8.797875,0.001332,0.000021,0.006821,12.117302,0.003122,20.927928
2,8,5.062235,0.078737,0.001881,0.006882,6.502301,0.003124,11.677310
4,4,2.254826,0.291236,0.002462,0.023300,2.770175,0.003348,5.346710
8,2,1.298588,0.131177,0.002986,0.007777,1.709219,0.003463,3.155088
16,1,0.472330,0.146581,0.005788,0.008841,0.600410,0.004072,1.241812
1,32,8.905983,0.001539,0.000015,0.019995,12.465205,0.003375,21.409557
2,16,5.056703,0.046273,0.001938,0.007134,6.756988,0.003317,11.886595
4,8,2.559738,0.389054,0.019574,0.007204,3.133573,0.003250,6.113691
8,4,1.046621,1.016886,0.008668,0.020894,1.359404,0.003634,3.464666
16,2,0.618204,1.941386,0.049468,0.021615,0.837939,0.003800,3.488555
32,1,0.219774,0.732485,0.048271,0.008264,0.271998,0.003716,1.314497
1,64,5.695484,0.001179,0.000016,0.006698,7.367134,0.003069,13.074932
2,32,2.856827,0.008104,0.001853,0.006698,3.693311,0.003044,6.571093
4,16,1.422099,0.029027,0.002140,0.006965,1.844249,0.003061,3.309336
8,8,0.766492,0.060086,0.002506,0.007700,0.993616,0.003379,1.835860
16,4,0.427868,0.086961,0.004889,0.008465,0.543272,0.003710,1.080641
32,2,0.218433,0.744500,0.042324,0.008333,0.273184,0.003766,1.335449
64,1,0.117491,0.583806,0.057011,0.008190,0.135282,0.003690,0.923899
