mpi,omp,interp,reduce,broadcast,norm,mover,denorm,total
1,2,0.000195,0.000012,0.000000,0.000076,0.000106,0.000039,0.000433
2,1,0.000065,0.000048,0.000115,0.000008,0.000075,0.000002,0.000315
1,4,0.000245,0.000005,0.000001,0.000168,0.000144,0.000074,0.000638
2,2,0.000138,0.000016,0.000042,0.000110,0.000090,0.000055,0.000454
4,1,0.000038,0.000023,0.000559,0.000009,0.000037,0.000005,0.000673
1,8,0.000608,0.000004,0.000000,0.000727,0.000282,0.000246,0.001870
2,4,0.000399,0.000120,0.000328,0.000369,0.000205,0.000159,0.001598
4,2,0.000312,0.000141,0.000652,0.000291,0.000126,0.000126,0.001683
8,1,0.000027,0.000107,0.000969,0.000010,0.000020,0.000003,0.001300
1,16,0.001195,0.000004,0.000002,0.001612,0.000561,0.000493,0.003870
2,8,0.000536,0.000031,0.000053,0.000716,0.000229,0.000217,0.001788
4,4,0.000643,0.000320,0.000289,0.000761,0.000356,0.000272,0.002646
8,2,0.000543,0.000104,0.000399,0.000558,0.000292,0.000271,0.002298
16,1,0.000028,0.000336,0.000829,0.000021,0.000025,0.000007,0.001337
1,32,0.001295,0.000005,0.000000,0.001503,0.000520,0.000489,0.003815
2,16,0.001804,0.000114,0.000308,0.002684,0.000828,0.000859,0.006628
4,8,0.001557,0.000365,0.000369,0.002313,0.000784,0.000726,0.006142
8,4,0.001306,0.002459,0.000065,0.001183,0.000578,0.000622,0.006583
16,2,0.000497,0.000912,0.001437,0.000510,0.000277,0.000224,0.004097
32,1,0.000016,0.002090,0.001533,0.000017,0.000010,0.000006,0.003679
1,64,0.004550,0.000004,0.000000,0.006162,0.001902,0.001881,0.014503
2,32,0.003198,0.000182,0.000084,0.005273,0.001634,0.001623,0.011999
4,16,0.002982,0.000424,0.000335,0.004941,0.001687,0.001605,0.011987
8,8,0.002898,0.005657,0.000433,0.004714,0.001452,0.001467,0.016784
16,4,0.001089,0.001770,0.003158,0.001158,0.000641,0.000639,0.009199
32,2,0.000672,0.005587,0.002025,0.000487,0.000249,0.000254,0.009397
64,1,0.000014,0.004613,0.001250,0.000016,0.000009,0.000001,0.006540
